,0,1
67,friday july 17 1987,1987-07-17
68,wednesday january 20 2010,2010-01-20
69,07 jul 1999,1999-07-07
70,thursday april 7 2005,2005-04-07
71,02.11.78,1978-11-02
72,29 october 1972,1972-10-29
73,march 3 1981,1981-03-03
74,wednesday july 4 1990,1990-07-04
75,friday august 21 1970,1970-08-21
76,24 mar 1980,1980-03-24
77,4 aug 1985,1985-08-04
78,19 oct 1993,1993-10-19
79,saturday september 9 2006,2006-09-09
80,apr 9 1993,1993-04-09
81,saturday september 6 1980,1980-09-06
82,monday april 8 1996,1996-04-08
83,1/13/92,1992-01-13
84,monday november 16 1970,1970-11-16
85,thursday may 10 1973,1973-05-10
86,friday february 22 1974,1974-02-22
87,6 june 2018,2018-06-06
88,sunday april 16 2000,2000-04-16
89,wednesday may 7 1975,1975-05-07
90,thursday may 30 1996,1996-05-30
91,saturday march 20 1982,1982-03-20
92,10/19/70,1970-10-19
93,jan 10 1995,1995-01-10
94,aug 27 1984,1984-08-27
95,march 9 2016,2016-03-09
96,16 november 2004,2004-11-16
97,april 9 1978,1978-04-09
98,thursday september 19 2002,2002-09-19
99,thursday april 26 2012,2012-04-26
100,3/10/74,1974-03-10
101,december 10 1970,1970-12-10
102,thursday august 9 2012,2012-08-09
103,friday june 20 2003,2003-06-20
104,march 2 1992,1992-03-02
105,8 jul 2011,2011-07-08
106,friday august 21 1998,1998-08-21
107,01 jun 2007,2007-06-01
108,20 09 83,1983-09-20
109,oct 16 1994,1994-10-16
110,2/9/15,2015-02-09
111,15 july 2017,2017-07-15
112,15 feb 1978,1978-02-15
113,friday november 16 2007,2007-11-16
114,8 03 80,1980-03-08
115,13 jun 1975,1975-06-13
116,5 september 2003,2003-09-05
117,monday march 23 1981,1981-03-23
118,sunday november 1 1992,1992-11-01
119,september 11 1985,1985-09-11
120,october 31 1983,1983-10-31
121,monday february 16 1981,1981-02-16
122,28 january 1981,1981-01-28
123,monday august 14 1989,1989-08-14
124,march 20 1980,1980-03-20
125,21 jul 2006,2006-07-21
126,monday march 1 1976,1976-03-01
127,thursday may 12 2005,2005-05-12
128,saturday may 6 2017,2017-05-06
129,tuesday march 24 1970,1970-03-24
130,saturday december 22 1979,1979-12-22
131,saturday march 21 1970,1970-03-21
132,friday october 3 2014,2014-10-03
133,saturday october 4 2003,2003-10-04
134,31 july 1982,1982-07-31
135,may 5 2011,2011-05-05
136,10 jul 1976,1976-07-10
137,december 26 1987,1987-12-26
138,5/17/04,2004-05-17
139,thursday august 21 1997,1997-08-21
140,7/2/74,1974-07-02
141,may 12 2001,2001-05-12
142,11 may 1998,1998-05-11
143,thursday may 20 1982,1982-05-20
144,22 07 86,1986-07-22
145,sunday july 18 1982,1982-07-18
146,tuesday november 9 1971,1971-11-09
147,18 may 1995,1995-05-18
148,saturday june 27 1992,1992-06-27
149,december 22 1981,1981-12-22
150,12 november 1996,1996-11-12
151,7 feb 1982,1982-02-07
152,wednesday february 10 1982,1982-02-10
153,tuesday november 25 2008,2008-11-25
154,friday april 8 2016,2016-04-08
155,4/8/05,2005-04-08
156,wednesday december 10 1986,1986-12-10
157,saturday february 14 1998,1998-02-14
158,friday december 3 2004,2004-12-03
159,monday january 30 2017,2017-01-30
160,sunday may 31 1998,1998-05-31
161,wednesday february 12 1992,1992-02-12
162,06 mar 1978,1978-03-06
163,august 10 1974,1974-08-10
164,22 oct 2013,2013-10-22
165,thursday may 3 2001,2001-05-03
166,11 apr 1983,1983-04-11
167,29 sep 2012,2012-09-29
168,april 12 2012,2012-04-12
169,15 nov 2008,2008-11-15
170,tuesday september 27 1983,1983-09-27
171,sunday march 11 1979,1979-03-11
172,february 18 2006,2006-02-18
173,15 november 1985,1985-11-15
174,23 june 1992,1992-06-23
175,23.08.08,2008-08-23
176,wednesday november 22 1989,1989-11-22
177,13 july 1978,1978-07-13
178,18 08 06,2006-08-18
179,23 sep 2004,2004-09-23
180,thursday march 9 2017,2017-03-09
181,30.08.15,2015-08-30
182,friday january 11 1974,1974-01-11
183,9 sep 1987,1987-09-09
184,tuesday january 19 1999,1999-01-19
185,saturday december 30 1972,1972-12-30
186,08 oct 1994,1994-10-08
187,monday february 28 2005,2005-02-28
188,tuesday june 20 2006,2006-06-20
189,23 january 2009,2009-01-23
190,27 apr 1977,1977-04-27
191,october 28 2012,2012-10-28
192,august 17 1974,1974-08-17
193,aug 17 1980,1980-08-17
194,thursday april 6 1995,1995-04-06
195,21 mar 2018,2018-03-21
196,mar 14 2013,2013-03-14
197,sunday may 28 1972,1972-05-28
198,16 sep 1988,1988-09-16
199,21 march 2000,2000-03-21
200,04 sep 2016,2016-09-04
201,thursday february 2 1995,1995-02-02
202,5 may 1997,1997-05-05
203,november 28 1990,1990-11-28
204,wednesday july 26 2000,2000-07-26
205,friday july 15 2011,2011-07-15
206,december 28 1987,1987-12-28
207,23 march 1991,1991-03-23
208,jul 8 2003,2003-07-08
209,tuesday september 10 2002,2002-09-10
210,05.06.73,1973-06-05
211,16 january 1988,1988-01-16
212,april 27 2000,2000-04-27
213,friday december 31 1971,1971-12-31
214,wednesday december 12 1984,1984-12-12
215,friday june 25 1993,1993-06-25
216,6 april 1979,1979-04-06
217,20 02 70,1970-02-20
218,tuesday january 5 2016,2016-01-05
219,saturday july 28 2012,2012-07-28
220,29.08.75,1975-08-29
221,31 jan 1972,1972-01-31
222,23 jul 1977,1977-07-23
223,dec 31 2010,2010-12-31
224,saturday october 16 1982,1982-10-16
225,5 january 1997,1997-01-05
226,5/20/03,2003-05-20
227,monday may 17 1982,1982-05-17
228,thursday july 21 1988,1988-07-21
229,monday october 4 1993,1993-10-04
230,3/11/84,1984-03-11
231,june 5 1990,1990-06-05
232,16 june 1991,1991-06-16
233,june 3 1996,1996-06-03
234,2/20/75,1975-02-20
235,friday december 23 2011,2011-12-23
236,22 06 90,1990-06-22
237,thursday january 26 1995,1995-01-26
238,monday october 2 1972,1972-10-02
239,13 jul 1998,1998-07-13
240,monday november 29 1982,1982-11-29
241,wednesday december 3 1980,1980-12-03
242,monday july 28 1975,1975-07-28
243,friday september 21 1979,1979-09-21
244,saturday november 10 1990,1990-11-10
245,21.10.85,1985-10-21
246,tuesday august 25 1992,1992-08-25
247,sunday november 15 1998,1998-11-15
248,september 3 1983,1983-09-03
249,11 12 70,1970-12-11
250,friday march 14 1980,1980-03-14
251,monday september 26 1977,1977-09-26
252,dec 23 2004,2004-12-23
253,23 feb 1972,1972-02-23
254,wednesday march 17 1993,1993-03-17
255,saturday september 7 1996,1996-09-07
256,september 25 1991,1991-09-25
257,wednesday october 11 1972,1972-10-11
258,wednesday june 4 1986,1986-06-04
259,monday october 11 1976,1976-10-11
260,tuesday december 24 2002,2002-12-24
261,9 feb 1980,1980-02-09
262,monday may 11 2009,2009-05-11
263,1/14/84,1984-01-14
264,friday august 21 1987,1987-08-21
265,saturday october 11 2008,2008-10-11
266,24 mar 2006,2006-03-24
267,jun 4 1994,1994-06-04
268,saturday october 11 1980,1980-10-11
269,tuesday may 2 1989,1989-05-02
270,wednesday august 2 1972,1972-08-02
271,mar 31 1976,1976-03-31
272,tuesday may 25 1976,1976-05-25
273,saturday november 26 2005,2005-11-26
274,10 feb 1984,1984-02-10
275,thursday may 24 2007,2007-05-24
276,23 apr 2004,2004-04-23
277,wednesday september 24 2014,2014-09-24
278,friday november 28 1997,1997-11-28
279,28 aug 2005,2005-08-28
280,14 january 1971,1971-01-14
281,saturday may 21 2005,2005-05-21
282,saturday april 26 1980,1980-04-26
283,16.01.10,2010-01-16
284,monday march 6 2006,2006-03-06
285,feb 21 1992,1992-02-21
286,january 7 2010,2010-01-07
287,saturday february 21 1981,1981-02-21
288,17 feb 2001,2001-02-17
289,thursday march 19 1998,1998-03-19
290,1 december 1999,1999-12-01
291,3 sep 1971,1971-09-03
292,april 19 1995,1995-04-19
293,1 feb 2015,2015-02-01
294,11 nov 1971,1971-11-11
295,6/7/96,1996-06-07
296,21 jan 1994,1994-01-21
297,tuesday november 17 2015,2015-11-17
298,23 oct 2006,2006-10-23
299,12 october 2014,2014-10-12
300,thursday june 10 2010,2010-06-10
301,28 feb 1971,1971-02-28
302,sunday september 22 1991,1991-09-22
303,31 december 2001,2001-12-31
304,13 oct 1999,1999-10-13
305,10 february 1973,1973-02-10
306,9/17/91,1991-09-17
307,friday april 26 1991,1991-04-26
308,july 3 1996,1996-07-03
309,4/24/90,1990-04-24
310,sunday july 16 1978,1978-07-16
311,friday november 3 1995,1995-11-03
312,june 22 2008,2008-06-22
313,13 may 2012,2012-05-13
314,november 10 1973,1973-11-10
315,21 10 08,2008-10-21
316,6/22/77,1977-06-22
317,friday january 31 2003,2003-01-31
318,29 jan 1978,1978-01-29
319,24 july 1976,1976-07-24
320,nov 2 2011,2011-11-02
321,friday november 6 1981,1981-11-06
322,thursday april 6 1972,1972-04-06
323,tuesday june 26 1973,1973-06-26
324,monday january 7 1991,1991-01-07
325,monday september 24 1984,1984-09-24
326,saturday september 24 2005,2005-09-24
327,25 jul 1976,1976-07-25
328,2 05 01,2001-05-02
329,dec 23 2003,2003-12-23
330,03 dec 2001,2001-12-03
331,thursday january 3 1974,1974-01-03
332,23 oct 1998,1998-10-23
333,saturday december 22 1984,1984-12-22
334,monday february 11 1985,1985-02-11
335,4 06 92,1992-06-04
336,monday january 12 1981,1981-01-12
337,jan 29 1996,1996-01-29
338,jan 9 2010,2010-01-09
339,thursday december 21 2006,2006-12-21
340,friday june 13 1986,1986-06-13
341,7 sep 2016,2016-09-07
342,saturday february 2 2002,2002-02-02
343,12 april 1982,1982-04-12
344,09 mar 1984,1984-03-09
345,06 sep 2007,2007-09-06
346,feb 1 2009,2009-02-01
347,5 jul 2007,2007-07-05
348,wednesday july 17 2013,2013-07-17
349,saturday july 21 1984,1984-07-21
350,wednesday november 5 1980,1980-11-05
351,13.10.15,2015-10-13
352,friday december 29 2000,2000-12-29
353,saturday december 26 1970,1970-12-26
354,10 apr 2014,2014-04-10
355,7 april 1983,1983-04-07
356,wednesday december 25 1974,1974-12-25
357,september 30 1974,1974-09-30
358,24 feb 2008,2008-02-24
359,saturday april 29 1978,1978-04-29
360,saturday june 5 1976,1976-06-05
361,19 january 1988,1988-01-19
362,29 jul 2008,2008-07-29
363,15 january 1986,1986-01-15
364,14 july 1984,1984-07-14
365,tuesday november 22 1988,1988-11-22
366,thursday may 2 1985,1985-05-02
367,november 13 2003,2003-11-13
368,10.03.95,1995-03-10
369,21 november 2016,2016-11-21
370,5/26/00,2000-05-26
371,17 february 2015,2015-02-17
372,wednesday june 18 1997,1997-06-18
373,april 4 2008,2008-04-04
374,december 15 1986,1986-12-15
375,12 april 2014,2014-04-12
376,wednesday august 30 2000,2000-08-30
377,thursday april 29 2004,2004-04-29
378,thursday may 19 1977,1977-05-19
379,05 apr 2005,2005-04-05
380,wednesday january 19 1972,1972-01-19
381,thursday november 25 2004,2004-11-25
382,thursday october 5 2006,2006-10-05
383,monday may 2 2016,2016-05-02
384,16 jan 1995,1995-01-16
385,thursday april 3 1986,1986-04-03
386,14.03.97,1997-03-14
387,july 25 2003,2003-07-25
388,10 august 2016,2016-08-10
389,august 11 1975,1975-08-11
390,monday september 7 1998,1998-09-07
391,6 september 2001,2001-09-06
392,friday july 22 1977,1977-07-22
393,21 april 1992,1992-04-21
394,17 december 1986,1986-12-17
395,25 mar 2000,2000-03-25
396,saturday september 1 1990,1990-09-01
397,24 nov 1998,1998-11-24
398,7/12/08,2008-07-12
399,25 jun 1978,1978-06-25
400,26 august 1981,1981-08-26
401,october 31 1984,1984-10-31
402,saturday december 24 2011,2011-12-24
403,sunday march 10 1996,1996-03-10
404,thursday november 5 1987,1987-11-05
405,23 oct 2008,2008-10-23
406,april 18 2013,2013-04-18
407,december 23 1981,1981-12-23
408,23 oct 2012,2012-10-23
409,20 may 1970,1970-05-20
410,thursday february 24 2005,2005-02-24
411,thursday october 20 1988,1988-10-20
412,saturday august 14 1971,1971-08-14
413,14 august 2002,2002-08-14
414,wednesday august 12 1992,1992-08-12
415,19 mar 2017,2017-03-19
416,14 dec 2012,2012-12-14
417,wednesday september 21 1983,1983-09-21
418,saturday july 28 2012,2012-07-28
419,thursday july 26 1990,1990-07-26
420,01.12.71,1971-12-01
421,23 01 97,1997-01-23
422,friday december 23 1994,1994-12-23
423,tuesday august 28 1984,1984-08-28
424,11 mar 2008,2008-03-11
425,16 january 1987,1987-01-16
426,friday september 6 1985,1985-09-06
427,12 april 1976,1976-04-12
428,11/20/83,1983-11-20
429,6 feb 1987,1987-02-06
430,02.02.08,2008-02-02
431,26.05.70,1970-05-26
432,tuesday february 16 1971,1971-02-16
433,4/19/80,1980-04-19
434,05 may 2008,2008-05-05
435,monday august 10 2009,2009-08-10
436,january 27 1979,1979-01-27
437,7 may 1992,1992-05-07
438,wednesday july 4 1984,1984-07-04
439,27 september 1978,1978-09-27
440,thursday june 23 2011,2011-06-23
441,5/24/12,2012-05-24
442,10.11.90,1990-11-10
443,monday september 20 2004,2004-09-20
444,wednesday june 14 1989,1989-06-14
445,wednesday december 22 1971,1971-12-22
446,19 april 1984,1984-04-19
447,saturday march 6 1999,1999-03-06
448,monday october 7 1996,1996-10-07
449,june 4 2016,2016-06-04
450,thursday july 16 2009,2009-07-16
451,tuesday april 29 1997,1997-04-29
452,28 december 2013,2013-12-28
453,7/31/13,2013-07-31
454,12/12/14,2014-12-12
455,wednesday december 15 1999,1999-12-15
456,04 nov 2008,2008-11-04
457,11 apr 2008,2008-04-11
458,thursday january 19 1989,1989-01-19
459,tuesday march 2 2004,2004-03-02
460,wednesday march 22 1989,1989-03-22
461,saturday july 22 2006,2006-07-22
462,23 12 74,1974-12-23
463,19 10 14,2014-10-19
464,tuesday june 25 2002,2002-06-25
465,7 oct 2017,2017-10-07
466,saturday november 2 2002,2002-11-02
467,2/28/14,2014-02-28
468,saturday october 18 1980,1980-10-18
469,19 sep 1998,1998-09-19
470,monday march 26 1973,1973-03-26
471,november 15 2017,2017-11-15
472,09 sep 1976,1976-09-09
473,saturday february 11 1978,1978-02-11
474,16 february 1988,1988-02-16
475,24 february 2015,2015-02-24
476,02.06.91,1991-06-02
477,february 1 1998,1998-02-01
478,13 september 1996,1996-09-13
479,13 jun 2002,2002-06-13
480,23 april 1976,1976-04-23
481,wednesday july 10 1996,1996-07-10
482,4 nov 2016,2016-11-04
483,wednesday september 18 2013,2013-09-18
484,31 march 1978,1978-03-31
485,april 29 1999,1999-04-29
486,august 23 1985,1985-08-23
487,28 mar 2012,2012-03-28
488,july 1 1970,1970-07-01
489,23 mar 2001,2001-03-23
490,1 august 1980,1980-08-01
491,thursday august 30 2012,2012-08-30
492,22 dec 1970,1970-12-22
493,mar 23 1994,1994-03-23
494,november 23 1980,1980-11-23
495,monday march 14 2016,2016-03-14
496,13.05.88,1988-05-13
497,wednesday october 31 1979,1979-10-31
498,thursday may 9 1996,1996-05-09
499,november 30 1980,1980-11-30
500,tuesday march 26 1991,1991-03-26
501,12 dec 1991,1991-12-12
502,07.09.12,2012-09-07
503,saturday november 20 2010,2010-11-20
504,08 jul 1991,1991-07-08
505,april 4 1999,1999-04-04
506,friday september 1 1972,1972-09-01
507,february 7 1994,1994-02-07
508,10 september 1986,1986-09-10
509,sunday january 1 2017,2017-01-01
510,13.11.10,2010-11-13
511,25 feb 2001,2001-02-25
512,wednesday october 27 1971,1971-10-27
513,10 08 93,1993-08-10
514,9/7/15,2015-09-07
515,8 september 1996,1996-09-08
516,monday november 17 2003,2003-11-17
517,2 may 1979,1979-05-02
518,4/24/11,2011-04-24
519,thursday june 15 1995,1995-06-15
520,wednesday december 14 2016,2016-12-14
521,august 21 2008,2008-08-21
522,sunday april 29 1990,1990-04-29
523,wednesday april 4 2007,2007-04-04
524,tuesday january 2 1979,1979-01-02
525,sunday december 14 2003,2003-12-14
526,wednesday september 20 2000,2000-09-20
527,tuesday january 31 2017,2017-01-31
528,5 october 1970,1970-10-05
529,24 09 01,2001-09-24
530,friday january 6 1995,1995-01-06
531,14 sep 1985,1985-09-14
532,nov 12 1997,1997-11-12
533,friday february 8 2002,2002-02-08
534,sunday may 5 1985,1985-05-05
535,december 20 2011,2011-12-20
536,1 08 04,2004-08-01
537,21 february 1993,1993-02-21
538,6/15/03,2003-06-15
539,friday february 9 1990,1990-02-09
540,july 3 2010,2010-07-03
541,monday july 22 1985,1985-07-22
542,09 apr 1998,1998-04-09
543,wednesday october 2 1991,1991-10-02
544,19 08 76,1976-08-19
545,saturday march 15 1980,1980-03-15
546,august 21 1982,1982-08-21
547,30 apr 2006,2006-04-30
548,saturday february 24 1973,1973-02-24
549,19 february 2018,2018-02-19
550,thursday september 8 2016,2016-09-08
551,14 may 1978,1978-05-14
552,2 may 1996,1996-05-02
553,july 8 1978,1978-07-08
554,3/20/95,1995-03-20
555,14 may 1974,1974-05-14
556,monday august 22 1983,1983-08-22
557,friday november 7 2014,2014-11-07
558,20 aug 1984,1984-08-20
559,29 jan 1970,1970-01-29
560,monday july 5 1976,1976-07-05
561,8 12 92,1992-12-08
562,2 oct 1987,1987-10-02
563,monday december 28 2009,2009-12-28
564,11 dec 1986,1986-12-11
565,monday may 26 2014,2014-05-26
566,18 08 06,2006-08-18
567,tuesday november 22 2011,2011-11-22
568,4 nov 1988,1988-11-04
569,friday september 30 2011,2011-09-30
570,tuesday december 30 2008,2008-12-30
571,monday february 18 1991,1991-02-18
572,thursday august 5 1993,1993-08-05
573,9 june 1991,1991-06-09
574,aug 27 1996,1996-08-27
575,june 17 1971,1971-06-17
576,july 16 2009,2009-07-16
577,tuesday march 28 1978,1978-03-28
578,saturday january 23 2010,2010-01-23
579,tuesday october 26 1999,1999-10-26
580,friday december 17 1999,1999-12-17
581,september 1 2013,2013-09-01
582,saturday june 22 1991,1991-06-22
583,january 14 1986,1986-01-14
584,tuesday may 12 1987,1987-05-12
585,10/7/76,1976-10-07
586,wednesday august 26 1981,1981-08-26
587,thursday august 11 2016,2016-08-11
588,sunday september 24 1989,1989-09-24
589,30 sep 2015,2015-09-30
590,thursday february 21 1974,1974-02-21
591,20 january 2004,2004-01-20
592,4 october 1978,1978-10-04
593,5 08 79,1979-08-05
594,friday december 2 2005,2005-12-02
595,27 05 83,1983-05-27
596,19 sep 2017,2017-09-19
597,wednesday march 30 1988,1988-03-30
598,friday may 11 1984,1984-05-11
599,friday may 15 1987,1987-05-15
600,tuesday may 24 1994,1994-05-24
601,3/18/73,1973-03-18
602,02 jun 1975,1975-06-02
603,thursday september 21 2017,2017-09-21
604,15 aug 1979,1979-08-15
605,16 november 1985,1985-11-16
606,7 june 2018,2018-06-07
607,14 january 1973,1973-01-14
608,wednesday june 27 1979,1979-06-27
609,tuesday may 4 1971,1971-05-04
610,thursday june 8 1972,1972-06-08
611,thursday october 18 1979,1979-10-18
612,friday september 22 1995,1995-09-22
613,november 17 1998,1998-11-17
614,tuesday june 9 2009,2009-06-09
615,august 22 1998,1998-08-22
616,sep 5 1971,1971-09-05
617,14 oct 1981,1981-10-14
618,friday july 4 1980,1980-07-04
619,wednesday october 14 2015,2015-10-14
620,15 sep 2004,2004-09-15
621,monday february 28 2005,2005-02-28
622,october 27 1979,1979-10-27
623,tuesday june 24 2003,2003-06-24
624,wednesday february 16 1977,1977-02-16
625,monday april 4 1994,1994-04-04
626,tuesday february 4 1975,1975-02-04
627,aug 12 1980,1980-08-12
628,july 12 1971,1971-07-12
629,november 22 1974,1974-11-22
630,thursday february 10 1994,1994-02-10
631,29.12.78,1978-12-29
632,saturday july 23 1994,1994-07-23
633,april 12 1993,1993-04-12
634,jun 1 1984,1984-06-01
635,tuesday january 16 1990,1990-01-16
636,4/30/83,1983-04-30
637,nov 7 2006,2006-11-07
638,friday july 24 1992,1992-07-24
639,tuesday august 12 1997,1997-08-12
640,25 oct 1974,1974-10-25
641,24 jul 1992,1992-07-24
642,21 jan 1981,1981-01-21
643,2/6/87,1987-02-06
644,tuesday february 26 2002,2002-02-26
645,monday july 30 2007,2007-07-30
646,july 16 1981,1981-07-16
647,10 dec 2007,2007-12-10
648,25 dec 1978,1978-12-25
649,tuesday march 5 1996,1996-03-05
650,04 sep 1971,1971-09-04
651,tuesday march 28 2000,2000-03-28
652,wednesday december 26 1979,1979-12-26
653,08.06.87,1987-06-08
654,april 12 1979,1979-04-12
655,10.07.16,2016-07-10
656,sunday july 6 1980,1980-07-06
657,10/20/07,2007-10-20
658,november 1 2010,2010-11-01
659,tuesday march 17 1987,1987-03-17
660,monday january 23 2017,2017-01-23
661,tuesday may 26 1987,1987-05-26
662,thursday september 21 1989,1989-09-21
663,sunday october 22 2017,2017-10-22
664,thursday february 26 1970,1970-02-26
665,monday march 21 2005,2005-03-21
666,3 june 2008,2008-06-03
667,monday january 30 1995,1995-01-30
668,friday june 1 2018,2018-06-01
669,april 18 1997,1997-04-18
670,wednesday august 22 2007,2007-08-22
671,sunday october 9 1983,1983-10-09
672,monday august 21 1995,1995-08-21
673,11 nov 1976,1976-11-11
674,1 june 1977,1977-06-01
675,monday july 29 2013,2013-07-29
676,12 september 2006,2006-09-12
677,july 23 1981,1981-07-23
678,friday july 27 2001,2001-07-27
679,tuesday february 24 2004,2004-02-24
680,7/28/82,1982-07-28
681,8 february 1975,1975-02-08
682,sunday january 25 2015,2015-01-25
683,thursday december 3 2009,2009-12-03
684,friday june 3 1977,1977-06-03
685,may 3 1977,1977-05-03
686,tuesday january 20 1998,1998-01-20
687,8 may 1980,1980-05-08
688,03.02.73,1973-02-03
689,26 07 00,2000-07-26
690,tuesday april 23 2013,2013-04-23
691,march 29 1978,1978-03-29
692,thursday july 3 1997,1997-07-03
693,sunday july 26 1987,1987-07-26
694,june 8 1989,1989-06-08
695,1/3/79,1979-01-03
696,28 aug 2005,2005-08-28
697,19 jun 2005,2005-06-19
698,sunday april 28 1985,1985-04-28
699,december 31 1981,1981-12-31
700,thursday may 9 2013,2013-05-09
701,30 august 1976,1976-08-30
702,monday january 18 1999,1999-01-18
703,wednesday january 9 1980,1980-01-09
704,tuesday december 13 1988,1988-12-13
705,thursday august 7 1986,1986-08-07
706,23 february 1978,1978-02-23
707,5 september 2015,2015-09-05
708,thursday may 16 1991,1991-05-16
709,27 february 2015,2015-02-27
710,15 dec 1996,1996-12-15
711,thursday december 27 2007,2007-12-27
712,january 27 2010,2010-01-27
713,december 3 1987,1987-12-03
714,12 jul 1984,1984-07-12
715,saturday june 3 1995,1995-06-03
716,monday july 29 1996,1996-07-29
717,29 jan 1991,1991-01-29
718,monday may 11 1970,1970-05-11
719,06.11.89,1989-11-06
720,jun 3 2018,2018-06-03
721,12 april 2018,2018-04-12
722,4 october 2011,2011-10-04
723,sunday june 27 1999,1999-06-27
724,thursday september 7 2000,2000-09-07
725,wednesday june 24 1998,1998-06-24
726,sunday january 12 2003,2003-01-12
727,saturday february 26 1977,1977-02-26
728,15 apr 2002,2002-04-15
729,18 apr 2002,2002-04-18
730,monday december 24 1984,1984-12-24
731,01.01.10,2010-01-01
732,sunday february 18 1973,1973-02-18
733,2 november 1993,1993-11-02
734,thursday november 19 1981,1981-11-19
735,8 jul 2004,2004-07-08
736,sunday november 28 1982,1982-11-28
737,wednesday november 21 1984,1984-11-21
738,sunday march 30 1975,1975-03-30
739,saturday august 29 2009,2009-08-29
740,september 29 2007,2007-09-29
741,wednesday march 14 1984,1984-03-14
742,january 28 1982,1982-01-28
743,tuesday december 26 1978,1978-12-26
744,7 december 1981,1981-12-07
745,07.09.13,2013-09-07
746,26 apr 1970,1970-04-26
747,thursday december 9 1976,1976-12-09
748,thursday october 12 1978,1978-10-12
749,thursday december 24 1970,1970-12-24
750,saturday december 29 1973,1973-12-29
751,saturday october 17 1987,1987-10-17
752,4/22/78,1978-04-22
753,wednesday april 12 2006,2006-04-12
754,april 27 1990,1990-04-27
755,november 19 1970,1970-11-19
756,8 10 02,2002-10-08
757,27 may 2011,2011-05-27
758,14 october 2009,2009-10-14
759,18 apr 1985,1985-04-18
760,12 jan 1993,1993-01-12
761,tuesday april 9 2013,2013-04-09
762,04 may 1976,1976-05-04
763,15 sep 1971,1971-09-15
764,saturday november 21 1970,1970-11-21
765,16 jan 2014,2014-01-16
766,jan 12 1998,1998-01-12
767,saturday october 16 1976,1976-10-16
768,monday january 14 1991,1991-01-14
769,10 mar 2000,2000-03-10
770,sunday october 6 1974,1974-10-06
771,tuesday december 31 1974,1974-12-31
772,february 8 1996,1996-02-08
773,13 aug 1980,1980-08-13
774,14 september 2000,2000-09-14
775,sunday april 26 1992,1992-04-26
776,friday december 14 2001,2001-12-14
777,saturday november 8 2014,2014-11-08
778,saturday october 13 1979,1979-10-13
779,12 february 2013,2013-02-12
780,8/17/05,2005-08-17
781,sunday july 16 1995,1995-07-16
782,sunday november 30 1986,1986-11-30
783,12/15/97,1997-12-15
784,oct 23 1979,1979-10-23
785,wednesday june 9 1999,1999-06-09
786,friday august 19 2016,2016-08-19
787,22 april 1994,1994-04-22
788,monday november 20 2017,2017-11-20
789,4/30/85,1985-04-30
790,21 jul 1996,1996-07-21
791,11 12 70,1970-12-11
792,03 jun 2001,2001-06-03
793,wednesday may 26 1993,1993-05-26
794,tuesday january 24 1978,1978-01-24
795,4 july 2017,2017-07-04
796,july 12 2002,2002-07-12
797,1/15/95,1995-01-15
798,2/25/78,1978-02-25
799,28 may 2011,2011-05-28
800,6 aug 1988,1988-08-06
801,sunday march 2 1975,1975-03-02
802,tuesday october 18 2005,2005-10-18
